Datetime,price
2021-01-07 15:00,1.22731
2021-01-07 15:30,1.22686
2021-01-07 16:00,1.22687
2021-01-07 16:30,1.22592
2021-01-07 17:00,1.22546
2021-01-07 17:30,1.22593
2021-01-07 18:00,1.22717
2021-01-07 18:30,1.22639
2021-01-07 19:00,1.22567
2021-01-07 19:30,1.22655
2021-01-07 20:00,1.22713
2021-01-07 20:30,1.22742
2021-01-07 21:00,1.22662
2021-01-07 21:30,1.22677
2021-01-07 22:00,1.22704
2021-01-07 22:30,1.22657
2021-01-07 23:00,1.22729
2021-01-07 23:30,1.2271
2021-01-08 0:00,1.22637
2021-01-08 0:30,1.22642
2021-01-08 1:00,1.22683
2021-01-08 1:30,1.22691
2021-01-08 2:00,1.2271
2021-01-08 2:30,1.22577
2021-01-08 3:00,1.22375
2021-01-08 3:30,1.22479
2021-01-08 4:00,1.22561
2021-01-08 4:30,1.22598
2021-01-08 5:00,1.22627
2021-01-08 5:30,1.22619
2021-01-08 6:00,1.22604
2021-01-08 6:30,1.2263
2021-01-08 7:00,1.22673
2021-01-08 7:30,1.22578
2021-01-08 8:00,1.2263
2021-01-08 8:30,1.22634
2021-01-08 9:00,1.22625
2021-01-08 9:30,1.2239
2021-01-08 10:00,1.22295
2021-01-08 10:30,1.22237
2021-01-08 11:00,1.22312
2021-01-08 11:30,1.224
2021-01-08 12:00,1.22399
2021-01-08 12:30,1.22394
2021-01-08 13:00,1.2247
2021-01-08 13:30,1.22504
2021-01-08 14:00,1.22485
2021-01-08 14:30,1.22486
2021-01-08 15:00,1.22486
2021-01-08 15:30,1.22715
2021-01-08 16:00,1.22275
2021-01-08 16:30,1.22502
2021-01-08 17:00,1.22252
2021-01-08 17:30,1.22551
2021-01-08 18:00,1.22465
2021-01-08 18:30,1.22515
2021-01-08 19:00,1.22346
2021-01-08 19:30,1.22288
2021-01-08 20:00,1.22126
2021-01-08 20:30,1.21949
2021-01-08 21:00,1.22068
2021-01-08 21:30,1.22146
2021-01-08 22:00,1.22184
2021-01-08 22:30,1.22262
2021-01-08 23:00,1.22229
2021-01-08 23:30,1.22218
2021-01-11 0:00,1.22233
2021-01-11 0:30,1.22167
2021-01-11 1:00,1.2201
2021-01-11 1:30,1.2187
2021-01-11 2:00,1.21839
2021-01-11 2:30,1.21888
2021-01-11 3:00,1.21767
2021-01-11 3:30,1.21778
2021-01-11 4:00,1.21756
2021-01-11 4:30,1.21801
2021-01-11 5:00,1.21753
2021-01-11 5:30,1.21732
2021-01-11 6:00,1.21682
2021-01-11 6:30,1.21738
2021-01-11 7:00,1.21738
2021-01-11 7:30,1.21818
2021-01-11 8:00,1.21844
2021-01-11 8:30,1.21899
2021-01-11 9:00,1.21884
2021-01-11 9:30,1.21785
2021-01-11 10:00,1.21923
2021-01-11 10:30,1.21902
2021-01-11 11:00,1.21816
2021-01-11 11:30,1.21609
2021-01-11 12:00,1.21598
2021-01-11 12:30,1.21973
2021-01-11 13:00,1.21619
2021-01-11 13:30,1.21664
2021-01-11 14:00,1.21653
2021-01-11 14:30,1.21656
2021-01-11 15:00,1.21553
2021-01-11 15:30,1.21446
2021-01-11 16:00,1.21503
2021-01-11 16:30,1.21375
2021-01-11 17:00,1.21519
2021-01-11 17:30,1.21504
2021-01-11 18:00,1.21612
2021-01-11 18:30,1.21687
2021-01-11 19:00,1.21679
2021-01-11 19:30,1.2167
2021-01-11 20:00,1.217
2021-01-11 20:30,1.21655
2021-01-11 21:00,1.21652
2021-01-11 21:30,1.21624
2021-01-11 22:00,1.21566
2021-01-11 22:30,1.21534
2021-01-11 23:00,1.21545
2021-01-11 23:30,1.21497
2021-01-12 0:00,1.2153
2021-01-12 0:30,1.21515
2021-01-12 1:00,1.21561
2021-01-12 1:30,1.21606
2021-01-12 2:00,1.21541
2021-01-12 2:30,1.21593
2021-01-12 3:00,1.21414
2021-01-12 3:30,1.21491
2021-01-12 4:00,1.21435
2021-01-12 4:30,1.2144
2021-01-12 5:00,1.21463
2021-01-12 5:30,1.21484
2021-01-12 6:00,1.21422
2021-01-12 6:30,1.21428
2021-01-12 7:00,1.21428
2021-01-12 7:30,1.21533
2021-01-12 8:00,1.21509
2021-01-12 8:30,1.21609
2021-01-12 9:00,1.21686
2021-01-12 9:30,1.21635
2021-01-12 10:00,1.21587
2021-01-12 10:30,1.21519
2021-01-12 11:00,1.21782
2021-01-12 11:30,1.21619
2021-01-12 12:00,1.21534
2021-01-12 12:30,1.21453
2021-01-12 13:00,1.21495
2021-01-12 13:30,1.21515
2021-01-12 14:00,1.21571
2021-01-12 14:30,1.21553
2021-01-12 15:00,1.21533
2021-01-12 15:30,1.21462
2021-01-12 16:00,1.21466
2021-01-12 16:30,1.21513
2021-01-12 17:00,1.21572
2021-01-12 17:30,1.21559
2021-01-12 18:00,1.21558
2021-01-12 18:30,1.21682
2021-01-12 19:00,1.21725
2021-01-12 19:30,1.21744
2021-01-12 20:00,1.21833
2021-01-12 20:30,1.21872
2021-01-12 21:00,1.2199
2021-01-12 21:30,1.21995
2021-01-12 22:00,1.22034
2021-01-12 22:30,1.22056
2021-01-12 23:00,1.2206
2021-01-12 23:30,1.22062
2021-01-13 0:00,1.22027
2021-01-13 0:30,1.2205
2021-01-13 1:00,1.22071
2021-01-13 1:30,1.22086
2021-01-13 2:00,1.22103
